21
0,1,48,63,24,62 	//   0 = 
48,1,48,63,24,62 	//   1 = 
96,1,48,63,24,62 	//   2 = 
144,1,48,63,24,62 	//   3 = 
192,1,48,63,24,62 	//   4 = 
0,65,48,63,24,62 	//   5 = 
48,65,48,63,24,62 	//   6 = 
96,65,48,63,24,62 	//   7 = 
144,65,48,63,24,62 	//   8 = 
192,65,48,63,24,62 	//   9 = 
0,128,48,48,24,24 	//  10 = 
48,128,48,48,24,24 	//  11 = 
96,128,48,48,24,24 	//  12 = 
144,128,48,48,24,24 	//  13 = 
192,128,48,48,24,24 	//  14 = 
0,176,48,48,24,24 	//  15 = 
48,176,48,48,24,24 	//  16 = 
96,176,48,48,24,24 	//  17 = 
144,176,48,48,24,24 	//  18 = 
192,176,48,48,24,24 	//  19 = 
0,224,24,24,12,12 	//  20 = 
